Model,R² Score,MAE,RMSE,Optimal DMSO (%),Optimal Cooling (°C/min),Predicted Viability (%)
Random Forest,0.15673745633811276,0.157848969414952,0.20353454883843075,7.241379310344828,8.03448275862069,91.70969047619046
Hist Gradient Boosting,0.11903788259912484,0.162012317732191,0.20803449384883538,7.758620689655173,5.086206896551724,89.90346589510855
Neural Network,0.06648949752620925,0.1703909449446691,0.21414914163477478,15.0,10.0,76.29332733154297
